"*";"base";"ian";"s";"anian";"ians"
"tn_Helsinki";"赫爾辛基";"赫爾辛基人";"赫爾辛基的";"一個赫爾辛基人";"赫爾辛基人"
"tn_Hoggar";"霍加爾";"霍加爾人";"霍加爾的";"一個霍加爾人";"霍加爾人"
"tn_Holland";"荷蘭";"荷蘭人";"荷蘭的";"一個荷蘭人";"荷蘭人"
"tn_Homs";"胡姆斯";"胡姆斯人";"胡姆斯的";"一個胡姆斯人";"胡姆斯人"
"tn_Hordaland";"霍達蘭";"霍達蘭人";"霍達蘭的";"一個霍達蘭人";"霍達蘭人"
"tn_Hormuz";"霍爾木茲";"霍爾木茲人";"霍爾木茲的";"一個霍爾木茲人";"霍爾木茲人"
"tn_Hungary";"匈牙利";"匈牙利人";"匈牙利的";"一個匈牙利人";"匈牙利人"
"tn_Ile_de_France";"法蘭西島";"法蘭西人";"法蘭西島的";"一個法蘭西人";"法蘭西人"
"tn_Imereti";"伊梅列季";"伊梅列季人";"伊梅列季的";"一個伊梅列季人";"伊梅列季人"
"tn_Indian_Ocean";"印度洋";"";"";"";""
"tn_Innsbruck";"茵斯布魯克";"茵斯布魯克人";"茵斯布魯克的";"一個茵斯布魯克人";"茵斯布魯克人"
"tn_Inverness";"因弗內斯";"因弗內斯人";"因弗內斯的";"一個因弗內斯人";"因弗內斯人"
"tn_Ionian_Sea";"愛奧尼亞海";"";"";"";""
"tn_Iraklion";"伊拉克利翁";"伊拉克利翁人";"伊拉克利翁的";"一個伊拉克利翁人";"伊拉克利翁人"
"tn_Ireland";"愛爾蘭";"愛爾蘭人";"愛爾蘭的";"一個愛爾蘭人";"愛爾蘭人"
"tn_Irish_Sea";"愛爾蘭海";"";"";"";""
"tn_Ispahan";"伊斯法罕";"伊斯法罕人";"伊斯法罕的";"一個伊斯法罕人";"伊斯法罕人"
"tn_Italy";"意大利";"意大利人";"意大利的";"一個意大利人";"意大利人"
"tn_Izmir";"伊茲密爾";"伊茲密爾人";"伊茲密爾的";"一個伊茲密爾人";"伊茲密爾人"
"tn_Izyum";"伊久姆";"伊久姆人";"伊久姆的";"一個伊久姆人";"伊久姆人"
"tn_Jalayirids";"札剌亦兒";"札剌亦兒人";"札剌亦兒的";"一個札剌亦兒人";"札剌亦兒人"
"tn_Jeddah";"吉達";"吉達人";"吉達的";"一個吉達人";"吉達人"
"tn_Jerusalem";"耶路撒冷";"耶路撒冷人";"耶路撒冷的";"一個耶路撒冷人";"耶路撒冷人"
"tn_Jutland";"日德蘭半島";"日德蘭半島人";"日德蘭半島的";"一個日德蘭半島人";"日德蘭半島人"
"tn_Kabylia";"卡比利亞";"卡比利亞人";"卡比利亞的";"一個卡比利亞人";"卡比利亞人"
"tn_Kakuyids";"卡庫伊德";"卡庫伊德人";"卡庫伊德的";"一個卡庫伊德人";"卡庫伊德人"
"tn_Kalmar";"卡爾馬";"卡爾馬人";"卡爾馬的";"一個卡爾馬人";"卡爾馬人"
"tn_KalmarUnion";"卡爾馬";"卡爾馬人";"卡爾馬的";"一個卡爾馬人";"卡爾馬人"
"tn_Kamianets";"卡緬涅茨";"卡緬涅茨人";"卡緬涅茨的";"一個卡緬涅茨人";"卡緬涅茨人"
"tn_Kanem";"加涅姆";"加涅姆人";"加涅姆的";"一個加涅姆人";"加涅姆人"
"tn_Kaouar";"卡瓦爾";"卡瓦爾人";"卡瓦爾的";"一個卡瓦爾人";"卡瓦爾人"
"tn_Karaman";"卡拉曼";"卡拉曼人";"卡拉曼的";"一個卡拉曼人";"卡拉曼人"
"tn_Karelia";"卡累利阿";"卡累利阿人";"卡累利阿的";"一個卡累利阿人";"卡累利阿人"
"tn_Karvuna";"卡瓦爾納";"卡瓦爾納人";"卡瓦爾納的";"一個卡瓦爾納人";"卡瓦爾納人"
"tn_Kashubia";"卡舒布";"卡舒布人";"卡舒布的";"一個卡舒布人";"卡舒布人"
"tn_Kassa";"卡薩";"卡薩人";"卡薩的";"一個卡薩人";"卡薩人"
"tn_Kaunas";"考納斯";"考納斯人";"考納斯的";"一個考納斯人";"考納斯人"
"tn_Kayseri";"開塞利";"開塞利人";"開塞利的";"一個開塞利人";"開塞利人"
"tn_Kazan";"喀山";"喀山人";"喀山的";"一個喀山人";"喀山人"
"tn_Kent";"肯特";"肯特人";"肯特的";"一個肯特人";"肯特人"
"tn_Kerak";"卡拉克";"卡拉克人";"卡拉克的";"一個卡拉克人";"卡拉克人"
"tn_Kermanshah";"克爾曼沙汗";"克爾曼沙汗人";"克爾曼沙汗的";"一個克爾曼沙汗人";"克爾曼沙汗人"
"tn_Khafr_Al_Batin";"哈夫阿爾巴丁";"哈夫阿爾巴丁人";"哈夫阿爾巴丁的";"一個哈夫阿爾巴丁人";"哈夫阿爾巴丁人"
"tn_Khuzestan";"胡澤斯坦";"胡澤斯坦人";"胡澤斯坦的";"一個胡澤斯坦人";"胡澤斯坦人"
"tn_Khwarazm";"花剌子模";"花剌子模人";"花剌子模的";"一個花剌子模人";"花剌子模人"
"tn_Klagenfurt";"克拉根福特";"克拉根福特人";"克拉根福特的";"一個克拉根福特人";"克拉根福特人"
"tn_Knights_of_Rhodes";"羅德騎士團";"羅德騎士團人";"羅德騎士團的";"一個羅德騎士團人";"羅德騎士團人"
"tn_Komarom";"科馬隆";"科馬隆人";"科馬隆的";"一個科馬隆的";"科馬隆人"
"tn_Konigsberg";"哥尼斯堡";"哥尼斯堡人";"哥尼斯堡的";"一個哥尼斯堡人";"哥尼斯堡人"
"tn_Konstanz";"康斯坦茨";"康斯坦茨人";"康斯坦茨的";"一個康斯坦茨人";"康斯坦茨人"
"tn_Konya";"科尼亞";"科尼亞人";"科尼亞的";"一個科尼亞人";"科尼亞人"
"tn_Kostroma";"科斯特羅馬";"科斯特羅馬人";"科斯特羅馬的";"一個科斯特羅馬人";"科斯特羅馬人"
"tn_Krakow";"克拉科夫";"克拉科夫人";"克拉科夫的";"一個克拉科夫人";"克拉科夫人"
"tn_Kurdistan";"庫爾德斯坦";"庫爾德人";"庫爾德斯坦的";"一個庫爾德人";"庫爾德人"
"tn_Kursk";"庫爾斯克";"庫爾斯克人";"庫爾斯克的";"一個庫爾斯克人";"庫爾斯克人"
"tn_Kutaisi";"庫塔伊西";"庫塔伊西人";"庫塔伊西的";"一個庫塔伊西人";"庫塔伊西人"
"tn_Kuyava";"庫耶瓦";"庫耶瓦人";"庫耶瓦的";"一個庫耶瓦人";"庫耶瓦人"
"tn_Kyiv";"基輔";"基輔人";"基輔的";"一個基輔人";"基輔人"
"tn_Laanemaa";"萊內馬";"萊內馬人";"萊內馬的";"一個萊內馬人";"萊內馬人"
"tn_Ladoga";"拉多加湖";"拉多加湖人";"拉多加湖的";"一個拉多加湖人";"拉多加湖人"
"tn_Latin_Empire";"拉丁帝國";"拉丁人";"拉丁帝國的";"一個拉丁人";"拉丁人"
"tn_Latium";"拉丁姆";"拉丁人";"拉丁姆的";"一個拉丁人";"拉丁人"
"tn_Lazika";"拉齊卡";"拉齊卡人";"拉齊卡的";"一個拉齊卡人";"拉齊卡人"
"tn_Lebanon";"黎巴嫩";"黎巴嫩人";"黎巴嫩的";"一個黎巴嫩人";"黎巴嫩人"
"tn_Leeuwarden";"呂伐登";"呂伐登人";"呂伐登的";"一個呂伐登人";"呂伐登人"
"tn_Lefkosia";"尼科西亞";"尼科西亞人";"尼科西亞的";"一個尼科西亞人";"尼科西亞人"
"tn_Leinster";"倫斯特";"倫斯特人";"倫斯特的";"一個倫斯特人";"倫斯特人"
"tn_Leon";"萊昂";"萊昂人";"萊昂的";"一個萊昂人";"萊昂人"
"tn_Liguria";"利古里亞";"利古里亞人";"利古里亞的";"一個利古里亞人";"利古里亞人"
"tn_Linkoping";"林雪平";"林雪平人";"林雪平的";"一個林雪平人";"林雪平人"
"tn_Lisbon";"里斯本";"里斯本人";"里斯本的";"一個里斯本人";"里斯本人"
"tn_Lithuania";"立陶宛";"立陶宛人";"立陶宛的";"一個立陶宛人";"立陶宛人"
"tn_Livonia";"利沃尼亞";"利沃尼亞人";"利沃尼亞的";"一個利沃尼亞人";"利沃尼亞人"
"tn_Livonian_Order";"利沃尼亞騎士團";"利沃尼亞人";"利沃尼亞騎士團的";"一個利沃尼亞人";"利沃尼亞人"
"tn_Ljubljana";"盧布爾雅那";"盧布爾雅那人";"盧布爾雅那的";"一個盧布爾雅那人";"盧布爾雅那人"
"tn_Lodz";"羅茲";"羅茲人";"羅茲的";"一個羅茲人";"羅茲人"
"tn_Lombardy";"倫巴第";"倫巴第人";"倫巴第的";"一個倫巴第人";"倫巴第人"
"tn_London";"倫敦";"倫敦人";"倫敦的";"一個倫敦人";"倫敦人"
"tn_Lorraine";"洛林";"洛林人";"洛林的";"一個洛林人";"洛林人"
"tn_Lothian";"洛錫安";"洛錫安人";"洛錫安的";"一個洛錫安人";"洛錫安人"
"tn_Lublin";"盧布林";"盧布林人";"盧布林的";"一個盧布林人";"盧布林人"
"tn_Lutsk";"盧茨克";"盧茨克人";"盧茨克的";"一個盧茨克人";"盧茨克人"
"tn_Luxembourg";"盧森堡";"盧森堡人";"盧森堡的";"一個盧森堡人";"盧森堡人"
"tn_Lycia";"利西亞";"利西亞人";"利西亞的";"一個利西亞人";"利西亞人"
"tn_Lyon";"里昂";"里昂人";"里昂的";"一個里昂人";"里昂人"
"tn_Lyonnais";"里昂";"里昂人";"里昂的";"一個里昂人";"里昂人"
"tn_Makuria";"馬庫里亞";"馬庫里亞人";"馬庫里亞的";"一個馬庫里亞人";"馬庫里亞人"
"tn_Malatya";"馬拉蒂亞";"馬拉蒂亞人";"馬拉蒂亞的";"一個馬拉蒂亞人";"馬拉蒂亞人"
"tn_Malbork";"馬爾堡";"馬爾堡人";"馬爾堡的";"一個馬爾堡人";"馬爾堡人"
"tn_Mali";"馬里";"馬里人";"馬里的";"一個馬里人";"馬里人"
"tn_Mallorca";"馬略卡島";"馬略卡島人";"馬略卡島的";"一個馬略卡島人";"馬略卡島人"
"tn_Malmo";"馬爾默";"馬爾默人";"馬爾默的";"一個馬爾默人";"馬爾默人"
"tn_Malopolska";"小波蘭";"小波蘭人";"小波蘭的";"一個小波蘭人";"小波蘭人"
"tn_Malta";"馬耳他";"馬耳他人";"馬耳他的";"一個馬耳他人";"馬耳他人"
"tn_Mamluks";"馬穆魯克";"馬穆魯克人";"馬穆魯克的";"一個馬穆魯克人";"馬穆魯克人"
"tn_Manych";"馬內奇";"馬內奇人";"馬內奇的";"一個馬內奇人";"馬內奇人"
"tn_Amogjar";"阿芒加爾";"阿芒加爾人";"阿芒加爾的";"一個阿芒加爾人";"阿芒加爾人"
"tn_Erbil";"埃爾比勒";"埃爾比勒人";"埃爾比勒的";"一個埃爾比勒人";"埃爾比勒人"
"tn_Marinids";"馬里尼德";"馬里尼德人";"馬里尼德的";"一個馬里尼德人";"馬里尼德人"
"tn_Marrakesh";"馬拉喀什";"馬拉喀什人";"馬拉喀什的";"一個馬拉喀什人";"馬拉喀什人"
"tn_Marseille";"馬賽";"馬賽人";"馬賽的";"一個馬賽人";"馬賽人"
"tn_Mascat";"馬斯喀特";"馬斯喀特人";"馬斯喀特的";"一個馬斯喀特人";"馬斯喀特人"
"tn_Matrouh";"馬特魯";"馬特魯人";"馬特魯的";"一個馬特魯人";"馬特魯人"
"tn_Mazovia";"馬索維亞";"馬索維亞人";"馬索維亞的";"一個馬索維亞人";"馬索維亞人"
"tn_Mdina";"姆迪納";"姆迪納人";"姆迪納的";"一個姆迪納人";"姆迪納人"
"tn_Mecca";"麥加";"麥加人";"麥加的";"一個麥加人";"麥加人"
"tn_Mecklenburg";"梅克倫堡";"梅克倫堡人";"梅克倫堡的";"一個梅克倫堡人";"梅克倫堡人"
"tn_Medina";"麥地那";"麥地那人";"麥地那的";"一個麥地那人";"麥地那人"
"tn_Melitene";"梅利特納";"梅利特納人";"梅利特納的";"一個梅利特納人";"梅利特納人"
"tn_Menteshe";"孟忒瑟";"孟忒瑟人";"孟忒瑟的";"一個孟忒瑟人";"孟忒瑟人"
"tn_Milan";"米蘭";"米蘭人";"米蘭的";"一個米蘭人";"米蘭人"
"tn_Minsk";"明斯克";"明斯克人";"明斯克的";"一個明斯克人";"明斯克人"
"tn_Mistras";"米斯特拉斯";"米斯特拉斯人";"米斯特拉斯的";"一個米斯特拉斯人";"米斯特拉斯人"
"tn_Moldavia";"摩爾達維亞";"摩爾達維亞人";"摩爾達維亞的";"一個摩爾達維亞人";"摩爾達維亞人"
"tn_Mologa";"莫洛加";"莫洛加人";"莫洛加的";"一個莫洛加人";"莫洛加人"
"tn_Mongols";"蒙古";"蒙古人";"蒙古的";"一個蒙古人";"蒙古人"
"tn_Moravia";"摩拉維亞";"摩拉維亞人";"摩拉維亞的";"一個摩拉維亞人";"摩拉維亞人"
"tn_Moscow";"莫斯科";"莫斯科人";"莫斯科的";"一個莫斯科人";"莫斯科人"
"tn_Mosul";"摩蘇爾";"摩蘇爾人";"摩蘇爾的";"一個摩蘇爾人";"摩蘇爾人"
"tn_Munster";"芒斯特";"芒斯特人";"芒斯特的";"一個芒斯特人";"芒斯特人"
"tn_Murcia";"穆爾西亞";"穆爾西亞人";"穆爾西亞的";"一個穆爾西亞人";"穆爾西亞人"
"tn_Murom";"穆羅姆";"穆羅姆人";"穆羅姆的";"一個穆羅姆人";"穆羅姆人"
"tn_Murzuk";"邁爾祖格";"邁爾祖格人";"邁爾祖格的";"一個邁爾祖格人";"邁爾祖格人"
"tn_Muscovy";"莫斯科公國";"莫斯科人";"莫斯科公國的";"一個莫斯科人";"莫斯科人"
"tn_Nancy";"南錫";"南錫人";"南錫的";"一個南錫人";"南錫人"
"tn_Naples";"那不勒斯";"那不勒斯人";"那不勒斯的";"一個那不勒斯人";"那不勒斯人"
"tn_Narbonnais";"納博訥";"納博訥人";"納博訥的";"一個納博訥人";"納博訥人"
"tn_Narva";"納爾瓦";"納爾瓦人";"納爾瓦的";"一個納爾瓦人";"納爾瓦人"
"tn_Navarra";"納瓦拉";"納瓦拉人";"納瓦拉的";"一個納瓦拉人";"納瓦拉人"
"tn_Nekhel";"納科爾";"納科爾人";"納科爾的";"一個納科爾人";"納科爾人"
"tn_New_Sarai";"新薩里";"新薩里人";"新薩里的";"一個新薩里人";"新薩里人"
"tn_Newcastle";"紐卡斯爾";"紐卡斯爾人";"紐卡斯爾的";"一個紐卡斯爾人";"紐卡斯爾人"
"tn_Meissen";"邁森";"邁森人";"邁森的";"一個邁森人";"邁森人"
"tn_Milas";"米拉斯";"米拉斯人";"米拉斯的";"一個米拉斯人";"米拉斯人"
"tn_Morea";"摩里亞";"摩里亞人";"摩里亞的";"一個摩里亞";"摩里亞人"
"tn_Zeta";"澤塔";"澤塔人";"澤塔的";"一個澤塔人";"澤塔人"
"tn_Rasht";"拉什特";"拉什特人";"拉什特的";"一個拉什特人";"拉什特人"
"tn_Van";"凡城";"凡城人";"凡城的";"一個凡城人";"凡城人"
"tn_Vologda";"沃洛格達";"沃洛格達人";"沃洛格達的";"一個沃洛格達人";"沃洛格達人"
"tn_Nicaea";"尼西亞";"尼西亞人";"尼西亞的";"一個尼西亞人";"尼西亞人"
"tn_Nice";"尼斯";"尼斯人";"尼斯的";"一個尼斯人";"尼斯人"
"tn_Nidaros";"尼德羅斯";"尼德羅斯人";"尼德羅斯的";"一個尼德羅斯人";"尼德羅斯人"
"tn_Nis";"尼什";"尼什人";"尼什的";"一個尼什人";"尼什人"
"tn_Nitra";"尼特拉";"尼特拉人";"尼特拉的";"一個尼特拉人";"尼特拉人"
"tn_Nizhniy_Novgorod";"下諾夫哥羅德";"下諾夫哥羅德人";"下諾夫哥羅德的";"一個下諾夫哥羅德人";"下諾夫哥羅德人"
"tn_Normandy";"諾曼底";"諾曼人";"諾曼底的";"一個諾曼人";"諾曼人"
"tn_North_Sea";"北海";"";"";"";""
"tn_Northern_Caspian";"裡海北岸";"";"";"";""
"tn_Northumberland";"諾森伯蘭";"諾森伯蘭人";"諾森伯蘭的";"一個諾森伯蘭人";"諾森伯蘭人"
"tn_Norway";"挪威";"挪威人";"挪威的";"一個挪威人";"挪威人"
"tn_Nottingham";"諾丁漢";"諾丁漢人";"諾丁漢的";"一個諾丁漢人";"諾丁漢人"
"tn_Nottinghamshire";"諾丁漢郡";"諾丁漢郡人";"諾丁漢郡的";"一個諾丁漢郡人";"諾丁漢郡人"
"tn_Novgorod";"諾夫哥羅德";"諾夫哥羅德人";"諾夫哥羅德的";"一個諾夫哥羅德人";"諾夫哥羅德人"
"tn_Novgorod_Seversk";"諾夫哥羅德-謝韋爾斯克";"諾夫哥羅德-謝韋爾斯克人";"諾夫哥羅德-謝韋爾斯克的";"一個諾夫哥羅德-謝韋爾斯克人";"諾夫哥羅德-謝韋爾斯克人"
"tn_Novgorod_Seversky";"諾夫哥羅德-謝韋爾斯基";"諾夫哥羅德-謝韋爾斯基人";"諾夫哥羅德-謝韋爾斯基的";"一個諾夫哥羅德-謝韋爾斯基人";"諾夫哥羅德-謝韋爾斯基人"
"tn_Nuremberg";"紐倫堡";"紐倫堡人";"紐倫堡的";"一個紐倫堡人";"紐倫堡人"
"tn_Nyland";"尼蘭";"尼蘭人";"尼蘭的";"一個尼蘭人";"尼蘭人"
"tn_Oddernes";"奧德內斯";"奧德內斯人";"奧德內斯的";"一個奧德內斯人";"奧德內斯人"
"tn_Ohrid";"奧赫里德";"奧赫里德人";"奧赫里德的";"一個奧赫里德人";"奧赫里德人"
"tn_Old_Sarai";"舊薩里";"舊薩里人";"舊薩里的";"一個舊薩里人";"舊薩里人"
"tn_Oleshye";"奧雷瑟";"奧雷瑟人";"奧雷瑟的";"一個奧雷瑟人";"奧雷瑟人"
"tn_Olomouc";"奧洛穆茨";"奧洛穆茨人";"奧洛穆茨的";"一個奧洛穆茨人";"奧洛穆茨人"
"tn_Oman";"阿曼";"阿曼人";"阿曼的";"一個阿曼人";"阿曼人"
"tn_Orleannais";"奧爾良";"奧爾良人";"奧爾良的";"一個奧爾良人";"奧爾良人"
"tn_Orleans";"奧爾良";"奧爾良人";"奧爾良的";"一個奧爾良人";"奧爾良人"
"tn_Oslo";"奧斯陸";"奧斯陸人";"奧斯陸的";"一個奧斯陸人";"奧斯陸人"
"tn_Ostergotland";"東約特蘭";"東約特蘭人";"東約特蘭的";"一個東約特蘭人";"東約特蘭人"
"tn_OttomanEmpire";"奧斯曼";"奧斯曼人";"奧斯曼的";"一個奧斯曼人";"奧斯曼人"
"tn_Ottomans";"奧斯曼";"奧斯曼人";"奧斯曼的";"一個奧斯曼人";"奧斯曼人"
"tn_Ouargla";"瓦爾格拉";"瓦爾格拉人";"瓦爾格拉的";"一個瓦爾格拉人";"瓦爾格拉人"
"tn_Oviedo";"奧維耶多";"奧維耶多人";"奧維耶多的";"一個奧維耶多人";"奧維耶多人"
"tn_Palermo";"巴勒莫";"巴勒莫人";"巴勒莫的";"一個巴勒莫人";"巴勒莫人"
"tn_Palestine";"巴勒斯坦";"巴勒斯坦人";"巴勒斯坦的";"一個巴勒斯坦人";"巴勒斯坦人"
"tn_Palma";"帕爾馬";"帕爾馬人";"帕爾馬的";"一個帕爾馬人";"帕爾馬人"
"tn_Palmyra";"巴爾米拉";"巴爾米拉人";"巴爾米拉的";"一個巴爾米拉人";"巴爾米拉人"
"tn_Pamplona";"潘普洛納";"潘普洛納人";"潘普洛納的";"一個潘普洛納人";"潘普洛納人"
"tn_Papacy";"教皇國";"教廷人";"教廷的";"一個教廷人";"教廷人"
"tn_Papal_States";"教皇國";"教廷人";"教皇國的";"一個教廷人";"教廷人"
"tn_Paris";"巴黎";"巴黎人";"巴黎的";"一個巴黎人";"巴黎人"
"tn_Pars";"帕爾斯";"帕爾斯人";"帕爾斯的";"一個帕爾斯人";"帕爾斯人"
"tn_Pechenegs";"佩切涅格";"佩切涅格人";"佩切涅格的";"一個佩切涅格人";"佩切涅格人"
"tn_Pecs";"佩奇";"佩奇人";"佩奇的";"一個佩奇人";"佩奇人"
"tn_Pereyaslavl";"波里亞斯拉弗爾";"波里亞斯拉弗爾人";"波里亞斯拉弗爾的";"一個波里亞斯拉弗爾人";"波里亞斯拉弗爾人"
"tn_Perm";"彼爾姆";"彼爾姆人";"彼爾姆的";"一個彼爾姆人";"彼爾姆人"
"tn_Pfalz";"普法爾茨";"普法爾茨人";"普法爾茨的";"一個普法爾茨人";"普法爾茨人"
"tn_Pinsk";"平斯克";"平斯克人";"平斯克的";"一個平斯克人";"平斯克人"
"tn_Plotsk";"普沃茨克";"普沃茨克人";"普沃茨克的";"一個普沃茨克人";"普沃茨克人"
"tn_Podolia";"波多利亞";"波多利亞人";"波多利亞的";"一個波多利亞人";"波多利亞人"
"tn_Poitiers";"普瓦捷";"普瓦捷人";"普瓦捷的";"一個普瓦捷人";"普瓦捷人"
"tn_Poitou";"普瓦圖";"普瓦圖人";"普瓦圖的";"一個普瓦圖人";"普瓦圖人"
"tn_Poland";"波蘭";"波蘭人";"波蘭的";"一個波蘭人";"波蘭人"
"tn_Poland_Lithuania";"波蘭-立陶宛";"波蘭-立陶宛人";"波蘭-立陶宛的";"一個波蘭-立陶宛人";"波蘭-立陶宛人"
"tn_Polesia";"波利西亞";"波利西亞人";"波利西亞的";"一個波利西亞人";"波利西亞人"
"tn_Polotsk";"波洛茨克";"波洛茨克人";"波洛茨克的";"一個波洛茨克人";"波洛茨克人"
"tn_Poltava";"波爾塔瓦";"波爾塔瓦人";"波爾塔瓦的";"一個波爾塔瓦人";"波爾塔瓦人"
"tn_Pomerania";"波美拉尼亞";"波美拉尼亞人";"波美拉尼亞的";"一個波美拉尼亞人";"波美拉尼亞人"
"tn_Pomerelia";"波美雷利亞";"波美雷利亞人";"波美雷利亞的";"一個波美雷利亞人";"波美雷利亞人"
"tn_Pontos";"本都";"本都人";"本都的";"一個本都人";"本都人"
"tn_Porto";"波爾圖";"波爾圖人";"波爾圖的";"一個波爾圖人";"波爾圖人"
"tn_Portugal";"葡萄牙";"葡萄牙人";"葡萄牙的";"一個葡萄牙人";"葡萄牙人"
"tn_Powys";"波厄斯";"波厄斯人";"波厄斯的";"一個波厄斯人";"波厄斯人"
"tn_Poznan";"波茲南";"波茲南人";"波茲南的";"一個波茲南人";"波茲南人"
"tn_Prague";"布拉格";"布拉格人";"布拉格的";"一個布拉格人";"布拉格人"
"tn_Propontis";"普羅波恩蒂斯";"";"";"";""
"tn_Provence";"普羅旺斯";"普羅旺斯人";"普羅旺斯的";"一個普羅旺斯人";"普羅旺斯人"
"tn_Prussia";"普魯士";"普魯士人";"普魯士的";"一個普魯士人";"普魯士人"
"tn_Pskov";"普斯科夫";"普斯科夫人";"普斯科夫的";"一個普斯科夫人";"普斯科夫人"
"tn_Qairwan";"凱魯萬";"凱魯萬人";"凱魯萬的";"一個凱魯萬人";"凱魯萬人"
"tn_Qazvin";"加茲溫";"加茲溫人";"加茲溫的";"一個加茲溫人";"加茲溫人"
"tn_Qeirwan";"加爾萬";"加爾萬人";"加爾萬的";"一個加爾萬人";"加爾萬人"
"tn_Qena";"基納";"基納人";"基納的";"一個基納人";"基納人"
"tn_Qift";"基夫特";"基夫特人";"基夫特的";"一個基夫特人";"基夫特人"
"tn_Qufa";"庫法";"庫法人";"庫法的";"一個庫法人";"庫法人"
"tn_Rabat";"拉巴特";"拉巴特人";"拉巴特的";"一個拉巴特人";"拉巴特人"
"tn_Ragusa";"拉古薩";"拉古薩人";"拉古薩的";"一個拉古薩人";"拉古薩人"
"tn_Raqqa";"拉卡";"拉卡人";"拉卡的";"一個拉卡人";"拉卡人"
"tn_Ras";"拉什";"拉什人";"拉什的";"一個拉什人";"拉什人"
"tn_Raska";"拉什卡";"拉什卡人";"拉什卡的";"一個拉什人";"拉什人"
"tn_Reach_Of_Cyprus";"塞浦路斯之境";"";"";"";""
"tn_Reach_Of_Egypt";"埃及之境";"";"";"";""
"tn_Red_Sea";"紅海";"";"";"";""
"tn_Regensburg";"雷根斯堡";"雷根斯堡人";"雷根斯堡的";"一個雷根斯堡人";"雷根斯堡人"
"tn_Reggio";"利基翁";"利基翁人";"利基翁的";"一個利基翁人";"利基翁人"
"tn_Rennes";"雷恩";"雷恩人";"雷恩的";"一個雷恩人";"雷恩人"
"tn_Reval";"日瓦爾";"日瓦爾人";"日瓦爾的";"一個日瓦爾人";"日瓦爾人"
"tn_Rheims";"蘭斯";"蘭斯人";"蘭斯的";"一個蘭斯人";"蘭斯人"
"tn_Rhineland";"萊茵蘭";"萊茵蘭人";"萊茵蘭的";"一個萊茵蘭人";"萊茵蘭人"
"tn_Rhodes";"羅德島";"羅德島人";"羅德島的";"一個羅德島人";"羅德島人"
"tn_Riga";"里加";"里加人";"里加的";"一個里加人";"里加人"
"tn_Rogaland";"羅加蘭";"羅加蘭人";"羅加蘭的";"一個羅加蘭人";"羅加蘭人"
"tn_Rome";"羅馬";"羅馬人";"羅馬的";"一個羅馬人";"羅馬人"
"tn_Roskilde";"羅斯基勒";"羅斯基勒人";"羅斯基勒的";"一個羅斯基勒人";"羅斯基勒人"
"tn_Rostov";"羅斯托夫";"羅斯托夫人";"羅斯托夫的";"一個羅斯托夫人";"羅斯托夫人"
"tn_Rostov_Suzdal";"羅斯托夫-蘇茲達爾";"羅斯托夫-蘇茲達爾人";"羅斯托夫-蘇茲達爾的";"一個羅斯托夫-蘇茲達爾人";"羅斯托夫-蘇茲達爾人"
"tn_Rouen";"魯昂";"魯昂人";"魯昂的";"一個魯昂人";"魯昂人"
"tn_Rum";"羅姆";"羅姆人";"羅姆的";"一個羅姆人";"羅姆人"
"tn_Russia";"俄羅斯";"俄羅斯人";"俄羅斯的";"一個俄羅斯人";"俄羅斯人"
"tn_Ruthenia";"魯塞尼亞";"魯塞尼亞人";"魯塞尼亞的";"一個魯塞尼亞人";"魯塞尼亞人"
"tn_Ryazan";"梁贊";"梁贊人";"梁贊的";"一個梁贊人";"梁贊人"
"tn_Rzeszow";"熱舒夫";"熱舒夫人";"熱舒夫的";"一個熱舒夫人";"熱舒夫人"
"tn_Saaremaa";"薩列馬";"薩列馬人";"薩列馬的";"一個薩列馬人";"薩列馬人"
"tn_Safi";"薩菲";"薩菲人";"薩菲的";"一個薩菲人";"薩菲人"
"tn_Salalah";"塞拉萊";"塞拉萊人";"塞拉萊的";"一個塞拉萊人";"塞拉萊人"
"tn_Salamanca";"薩拉曼卡";"薩拉曼卡人";"薩拉曼卡的";"一個薩拉曼卡人";"薩拉曼卡人"
"tn_Saltuqids";"薩爾圖格";"薩爾圖格人";"薩爾圖格的";"一個薩爾圖格人";"薩爾圖格人"
"tn_Samandar";"薩曼達爾";"薩曼達爾人";"薩曼達爾的";"一個薩曼達爾人";"薩曼達爾人"
"tn_Samara";"薩馬拉";"薩馬拉人";"薩馬拉的";"一個薩馬拉人";"薩馬拉人"
"tn_Samsat";"薩姆薩特";"薩姆薩特人";"薩姆薩特的";"一個薩姆薩特人";"薩姆薩特人"
"tn_Sardinia";"撒丁島";"撒丁島人";"撒丁島的";"一個撒丁島人";"撒丁島人"
"tn_Sardis";"薩迪斯";"薩迪斯人";"薩迪斯的";"一個薩迪斯人";"薩迪斯人"
"tn_Sarkel";"薩克爾";"薩克爾人";"薩克爾的";"一個薩克爾人";"薩克爾人"
"tn_Savoy";"薩伏依";"薩伏依人";"薩伏依的";"一個薩伏依人";"薩伏依人"
"tn_Sawakin";"薩瓦金";"薩瓦金人";"薩瓦金的";"一個薩瓦金人";"薩瓦金人"
"tn_Saxony";"薩克森";"薩克森人";"薩克森的";"一個薩克森人";"撒克遜人"
"tn_Scania";"斯堪尼亞";"斯堪尼亞人";"斯堪尼亞的";"一個斯堪尼亞人";"斯堪尼亞人"
