"*";"base";"s"
"cn_Bemon.m";"貝蒙";""
"cn_Benedek.m";"貝內德克";""
"cn_Benedetta.f";"貝內德塔";""
"cn_Benedetto.m";"貝內德托";""
"cn_Benedict.m";"本尼迪克特";""
"cn_Benedicta.f";"貝妮迪克塔";""
"cn_Benedykt.m";"本尼迪克";""
"cn_Bengda.f";"本妲";""
"cn_Bengjerd.f";"本吉爾德";""
"cn_Bengt.m";"本格特";""
"cn_Benjamin.m";"本傑明";""
"cn_Bennada.f";"本納達";""
"cn_Benozzo.m";"貝諾佐";""
"cn_Bensa.m";"本薩";""
"cn_Berchte.f";"布爾切特";""
"cn_Berdi.m";"拜爾迪";""
"cn_Berengaria.f";"貝倫加麗亞";""
"cn_Berenger.m";"貝倫格";""
"cn_Berengere.m";"貝蘭格爾";""
"cn_Berengiere.f";"拜倫格爾";""
"cn_Berengiers.m";"拜倫格爾斯";""
"cn_Berenguela.f";"貝倫加利亞";""
"cn_Berenguer.m";"貝倫格爾";""
"cn_Berga.f";"貝爾加";""
"cn_Berke.m";"別兒哥";""
"cn_Bermundo.m";"貝爾蒙多";""
"cn_Bern.m";"伯恩";""
"cn_Bernaard.m";"貝爾納德";""
"cn_Bernabo.m";"貝爾納博";""
"cn_Bernadette.f";"伯納黛特";""
"cn_Bernard.m";"伯納德";""
"cn_Bernarda.f";"伯納達";""
"cn_Bernardo.m";"貝爾納多";""
"cn_Bernart.m";"貝爾納特";""
"cn_Bernatz.m";"貝爾納茲";""
"cn_Bernhard.m";"伯恩哈德";""
"cn_Berold.m";"貝羅爾德";""
"cn_Bersi.m";"貝爾斯";""
"cn_Berta.f";"貝爾妲";""
"cn_Bertha.f";"伯莎";""
"cn_Berthold.m";"貝特霍爾德";""
"cn_Berto.m";"貝爾托";""
"cn_Bertod.f";"貝爾托德";""
"cn_Bertoldo.m";"貝爾托德羅";""
"cn_Bertolf.m";"貝爾托洛夫";""
"cn_Bertrade.f";"貝爾特萊德";""
"cn_Bertram.m";"貝爾特拉姆";""
"cn_Bertrand.m";"貝爾特蘭德";""
"cn_Bertrand_Rambaud.m";"貝爾特蘭德-蘭姆博德";""
"cn_Bertranda.f";"貝爾特蘭妲";""
"cn_Bertrando.m";"貝爾特蘭多";""
"cn_Bertuccio.m";"貝爾圖喬";""
"cn_Berwicus.m";"貝爾烏庫斯";""
"cn_Besart.m";"貝薩特";""
"cn_Beshken.m";"貝什坎";""
"cn_Besian.m";"貝西安";""
"cn_Besjana.f";"貝賈婭";""
"cn_Besmir.m";"貝斯米爾";""
"cn_Besnik.m";"貝斯尼克";""
"cn_Bethoc.f";"貝瑟克";""
"cn_Betto.m";"貝托";""
"cn_Bevis.m";"貝維斯";""
"cn_Beyanjar.m";"貝雅加爾";""
"cn_Bianca.f";"比安卡";""
"cn_Bikshi.m";"比克什";""
"cn_Biksys.m";"比克西斯";""
"cn_Bilal.m";"比萊爾";""
"cn_Bilarghu.m";"比拉古";""
"cn_Bilqis.f";"比莉奇絲";""
"cn_Birger.m";"比爾格爾";""
"cn_Birgitta.f";"比爾格塔";""
"cn_Biri.m";"比里";""
"cn_Birute.f";"比露特";""
"cn_Bjadmunjo.f";"比賈德穆裘";""
"cn_Bjorn.m";"比約恩";""
"cn_Bjoulfr.m";"比約伏爾";""
"cn_Blaive.m";"比萊夫";""
"cn_Blancha.f";"布蘭恰";""
"cn_Blanche.f";"布蘭奇";""
"cn_Blanchefleur.f";"布蘭奇芙蓉";""
"cn_Blanka.f";"布蘭卡";""
"cn_Blasius.m";"布萊修斯";""
"cn_Bleddyn.m";"布萊迪";""
"cn_Bledri.m";"布萊迪里";""
"cn_Bo.m";"卜";""
"cn_Bodvar.m";"博德瓦爾";""
"cn_Boedil.f";"博埃迪麗";""
"cn_Bogdan.m";"博格丹";""
"cn_Bogislaw.m";"博吉斯拉夫";""
"cn_Bogomer.m";"博格梅爾";""
"cn_Bogomil.m";"博格米爾";""
"cn_Boguslaw.m";"博古斯拉夫";""
"cn_Bohemond.m";"博希蒙德";""
"cn_Boleslaw.m";"波列斯瓦夫";""
"cn_Boleszlav.m";"博萊斯拉夫";""
"cn_Bolja.f";"博爾賈";""
"cn_Bolko.m";"博爾科";""
"cn_Bona.f";"博娜";""
"cn_Bonassias.f";"博娜西婭斯";""
"cn_Bondone.m";"邦多納";""
"cn_Boniak.m";"邦尼阿卡";""
"cn_Bonidace.m";"邦尼達斯";""
"cn_Bonifazio.m";"鮑尼法齊奧";""
"cn_Bonmercato.m";"博美爾查托";""
"cn_Bonne.f";"伯尼";""
"cn_Bono.m";"博諾";""
"cn_Boraqchin.f";"孛剌合真";""
"cn_Borcelens.m";"波爾徹蘭斯";""
"cn_Borena.m";"博若納";""
"cn_Borghild.f";"博格希爾";""
"cn_Boric.m";"博里克";""
"cn_Boril.m";"博里爾";""
"cn_Borios.m";"波里奧斯";""
"cn_Boris.m";"波里斯";""
"cn_Borisz.m";"伯利茲";""
"cn_Borivoj.m";"波里維";""
"cn_Bornazela.f";"博納澤拉";""
"cn_Boroldai.m";"孛欒臺";""
"cn_Borrell.m";"博雷利";""
"cn_Borsa.m";"博爾薩";""
"cn_Borte.f";"孛兒帖";""
"cn_Bosha.m";"波紹";""
"cn_Boso.m";"波索";""
"cn_Botille.f";"波提爾";""
"cn_Botolf.m";"博托爾夫";""
"cn_Botso.m";"波托索";""
"cn_Botu.m";"博圖";""
"cn_Botvid.m";"博特維德";""
"cn_Bouchard.m";"布查德";""
"cn_Bourke.m";"博爾克";""
"cn_Boutovit.m";"波托維特";""
"cn_Boyan.m";"博揚";""
"cn_Boyaohe.m";"博揚赫";""
"cn_Boyna.f";"博揚娜";""
"cn_Bozena.f";"博澤娜";""
"cn_Bozha.m";"搏扎";""
"cn_Bozidar.m";"波茲達爾";""
"cn_Bran.m";"布蘭";""
"cn_Brancaleone.m";"布蘭卡萊奧內";""
"cn_Brendan.m";"布蘭登";""
"cn_Bretislaw.m";"布蘭提斯拉夫";""
"cn_Brian.m";"布萊恩";""
"cn_Bridget.f";"布里吉特";""
"cn_Brigi.f";"布里吉";""
"cn_Brigitte.f";"布麗吉塔";""
"cn_Brinolf.m";"布利諾爾夫";""
"cn_Brkisho.m";"布爾奇舍";""
"cn_Broccin.m";"布爾岑";""
"cn_Brodar.m";"博爾達爾";""
"cn_Bruna.f";"布倫娜";""
"cn_Brunissende.f";"布魯妮森妲";""
"cn_Bruno.m";"布魯諾";""
"cn_Brunoro.m";"布魯諾羅";""
"cn_Bryachislav.m";"布里亞齊斯拉夫";""
"cn_Brynhild.f";"伯倫希爾";""
"cn_Bucello.m";"布塞洛";""
"cn_Budamma.m";"布妲瑪";""
"cn_Buka.f";"布卡";""
"cn_Bukar.m";"布卡爾";""
"cn_Bukhtnassar.m";"布克哈納薩爾";""
"cn_Bulughan.f";"卜魯罕";""
"cn_Buqa.m";"不花";""
"cn_Burdukhan.f";"布魯杜克汗";""
"cn_Burga.f";"布爾卡";""
"cn_Burgmann.m";"伯格曼";""
"cn_Burgold.m";"布爾格德";""
"cn_Burhan.m";"布爾漢";""
"cn_Buri.m";"布里";""
"cn_Burislav.m";"布瑞斯拉夫";""
"cn_Burkhart.m";"布爾坎哈特";""
"cn_Bursuqi.m";"布爾舍奇";""
"cn_Burunild.f";"布爾烏里德";""
"cn_Busayid.m";"布斯艾伊德";""
"cn_Butautas.m";"布陶塔斯";""
"cn_Buteikis.m";"布泰基斯";""
"cn_Butigeidis.m";"布提格迪斯";""
"cn_Butvydas.m";"布特維達斯";""
"cn_Buzad.m";"布扎德";""
"cn_Cacasseno.m";"卡卡塞諾";""
"cn_Cacht.f";"卡查特";""
"cn_Cadarius.m";"卡達瑞烏斯";""
"cn_Cadell.m";"凱德爾";""
"cn_Cadfan.m";"卡德凡";""
"cn_Cadwaladr.m";"卡德瓦拉德";""
"cn_Cadwallon.m";"卡德瓦龍";""
"cn_Cadwgan.m";"卡杜根";""
"cn_Caerell.m";"卡瑞爾";""
"cn_Caerill.m";"卡爾里";""
"cn_Caffaro.m";"卡法羅";""
"cn_Caillech.f";"卡勒奇";""
"cn_Cainnech.m";"切尼奇";""
"cn_Cairbre.m";"凱爾佈雷";""
"cn_Caldairo.m";"卡爾代羅";""
"cn_Callistus.m";"卡利斯圖斯";""
"cn_Callixtus.m";"卡利克斯圖斯";""
"cn_Camba.m";"坎巴";""
"cn_Candace.f";"凱蒂絲";""
"cn_Canfrancesco.m";"凱法蘭西斯卡";""
"cn_Cangrande.m";"坎格蘭德";""
"cn_Cannech.m";"坎尼奇";""
"cn_Cansignorio.m";"坎西諾里奧";""
"cn_Cante.m";"坎特";""
"cn_Caoch.m";"考奇";""
"cn_Caradog.m";"卡拉多格";""
"cn_Carl.m";"凱爾";""
"cn_Carla.f";"卡菈";""
"cn_Carlo.m";"卡羅";""
"cn_Carulus.m";"卡若魯斯";""
"cn_Caslav.m";"恰斯拉夫";""
"cn_Casnodyn.m";"恰斯諾杜因";""
"cn_Caspar.m";"卡斯帕";""
"cn_Cass.m";"卡斯";""
"cn_Cassianos.m";"卡西安諾斯";""
"cn_Cassone.m";"卡斯隆";""
"cn_Catalina.f";"凱特琳娜";""
"cn_Catarine.f";"凱塔琳";""
"cn_Cataruccia.f";"卡塔魯西亞";""
"cn_Caterina.f";"卡特瑞娜";""
"cn_Cathail.m";"卡薩爾";""
"cn_Cathal.m";"卡撒爾";""
"cn_Catherine.f";"卡瑟琳";""
"cn_Cathroe.m";"凱瑟羅";""
"cn_Catrin.f";"卡爾汀";""
"cn_Causantin.m";"卡奧薩汀";""
"cn_Ceaunfaeladh.m";"卡奧法拉德赫";""
"cn_Cecile.f";"卡奇爾";""
"cn_Cecilia.f";"卡奇菈";""
"cn_Cecily.f";"卡奇麗";""
"cn_Celestina.f";"塞勒斯蒂娜";""
"cn_Celestine.m";"塞勒斯汀";""
"cn_Celine.f";"塞勒妮";""
"cn_Cenana.f";"塞娜菈";""
"cn_Cennedig.m";"塞尼迪格";""
"cn_Cennetig.m";"塞涅提格";""
"cn_Cenni.m";"塞尼";""
"cn_Centolh.m";"塞托爾赫";""
"cn_Cerveri.m";"塞爾文瑞";""
"cn_Cetshwayo.m";"塞奇瓦約";""
"cn_Chagatai.m";"察合臺";""
"cn_Chagatay.m";"察合帶";""
"cn_Chaka.m";"查卡";""
"cn_Chamoa.f";"查莫阿";""
"cn_Chandrenos.m";"查德瑞諾斯";""
"cn_Charena.m";"查瑞納";""
"cn_Chariton.m";"查里頓";""
"cn_Charles.m";"查爾斯";""
"cn_Charlez.m";"查爾茲";""
"cn_Chatbetz.m";"查特貝茲";""
"cn_Chaur.m";"察兀兒";""
"cn_Cheb.m";"赫布";""
"cn_Chechagan.f";"赫察干";""
"cn_Checheikhen.f";"阇阇干";""
"cn_Cheikh.m";"謝赫";""
"cn_Chelaleddin.m";"謝拉萊丁";""
"cn_Chelbir.m";"謝爾彼爾";""
"cn_Cherik.m";"切熱克";""
"cn_Cherkes.m";"查克斯";""
"cn_Chiaber.m";"查貝爾";""
"cn_Chiaro.m";"謝亞羅";""
"cn_Chichak.m";"奇恰克";""
"cn_Chigu.m";"奇古";""
"cn_Chin.m";"奇因";""
"cn_Chingim.m";"奇因吉姆";""
"cn_Choban.m";"喬班";""
"cn_Chormaqan.m";"綽兒馬罕";""
"cn_Christiana.f";"克里斯蒂安娜";""
"cn_Christianus.m";"契利斯當";""
"cn_Christina.f";"克里斯蒂納";""
"cn_Christine.f";"克里斯蒂妮";""
"cn_Christoffer.m";"克里斯托弗";""
"cn_Christoph.m";"克里斯托芬";""
"cn_Christopher.m";"克里斯托夫";""
"cn_Chubei.f";"初貝";""
"cn_Chupan.m";"初潘";""
"cn_Cinaed.m";"辛納德";""
"cn_Cinaeda.m";"辛納達";""
"cn_Cinneidigh.m";"辛內迪格";""
"cn_Cipriano.m";"西普里亞諾";""
"cn_Citi.m";"西提";""
"cn_Claas.m";"科拉斯";""
"cn_Clara.f";"克萊拉";""
"cn_Clare.f";"克萊爾";""
"cn_Claria.f";"克萊婭";""
"cn_Clarice.f";"克萊倫斯";""
"cn_Clarimond.f";"克萊爾蒙德";""
"cn_Claris.m";"克拉瑞斯";""
"cn_Claudia.f";"卡勞迪亞";""
"cn_Clembaud.m";"科勒姆巴德";""
"cn_Clemence.f";"克勒門斯";""
"cn_Clement.m";"克勒蒙特";""
"cn_Clementia.f";"克萊門蒂婭";""
"cn_Clementine.f";"克萊曼婷";""
"cn_Clerebold.m";"克萊雷博爾德";""
"cn_Clothna.m";"科洛斯納";""
"cn_Cneppyn.m";"科涅普因";""
"cn_Codre.f";"科多爾";""
"cn_Coinneach.m";"科尼納奇";""
"cn_Colban.m";"科爾班";""
"cn_Collwyn.m";"科爾溫";""
"cn_Colyne.m";"科伊尼";""
"cn_Comgeall.m";"科姆吉爾";""
"cn_Conan.m";"柯南";""
"cn_Conchaka.f";"科查卡";""
"cn_Conchobar.m";"康科巴爾";""
"cn_Conon.m";"加農";""
"cn_Conor.m";"柯農爾";""
"cn_Conrad.m";"康拉德";""
"cn_Conradin.m";"康拉丁";""
"cn_Conradt.m";"康拉特";""
"cn_Consolella.f";"康斯薇拉";""
"cn_Constance.f";"康斯坦絲";""
"cn_Constantia.f";"康斯坦提亞";""
"cn_Constantijn.m";"康司坦丁";""
"cn_Constantine.m";"君士坦丁";""
"cn_Constantino.m";"康斯坦蒂諾";""
"cn_Constanza.f";"康斯坦薩";""
"cn_Coradiatz.m";"克拉迪亞茲";""
"cn_Corinne.f";"科琳娜";""
"cn_Cormac.m";"科馬克";""
"cn_Cormaic.m";"康馬克";""
"cn_Cornella.f";"科內拉";""
"cn_Corrado.m";"科拉多";""
"cn_Cosimo.m";"科西莫";""
"cn_Cosmas.m";"科斯馬斯";""
"cn_Costantino.m";"科斯坦蒂諾";""
"cn_Costea.m";"科斯特亞";""
"cn_Craft.m";"克拉夫特";""
"cn_Cresonio.m";"克雷申尼奧";""
"cn_Crespi.m";"克雷斯皮";""
"cn_Cristin.f";"克里斯汀";""
"cn_Cristinia.f";"克里斯汀娜";""
"cn_Cristofano.m";"克里斯托法諾";""
"cn_Csak.m";"科薩克";""
"cn_Csama.m";"柯薩馬";""
"cn_Csanad.m";"科薩納德";""
"cn_Csepan.m";"科斯潘";""
"cn_Csete.m";"科賽特";""
"cn_Cu.m";"科烏";""
"cn_Cuan.m";"庫安";""
"cn_Cuilen.m";"庫里安";""
"cn_Culeon.m";"庫勒恩";""
"cn_Cunedda.m";"庫尼達";""
"cn_Cunigunde.f";"庫妮根德";""
"cn_Curtis.m";"柯蒂斯";""
"cn_Cydifor.m";"賽迪福";""
"cn_Cynan.m";"卡南";""
"cn_Cynddelw.m";"辛德盧";""
"cn_Cynferth.m";"辛內菲爾茨";""
"cn_Cynwrig.m";"辛弗里格";""
"cn_Czacherys.m";"柴可利";""
"cn_Dabid.m";"戴彼得";""
"cn_Dadi.m";"達迪";""
"cn_Dafydd.m";"戴菲德";""
"cn_Dag.m";"戴戈";""
"cn_Dairmaid.m";"戴麥德";""
"cn_Dala.m";"韃拉";""
"cn_Dalida.f";"達利妲";""
"cn_Dalmat.m";"達爾馬特";""
"cn_Dalmatz.m";"達爾馬茨";""
"cn_Damasus.m";"達馬蘇斯";""
"cn_Damilla.f";"達瑪利婭";""
"cn_Damjan.m";"達米揚";""
"cn_Damyan.m";"達米彥";""
"cn_Dan.m";"丹";""
"cn_Dananir.f";"丹納妮爾";""
"cn_Daniel.m";"丹尼爾";""
"cn_Daniello.m";"達尼埃洛";""
"cn_Daniil.m";"丹尼尤";""
"cn_Danil.m";"達尼爾";""
"cn_Danishmend.m";"達尼什曼德";""
"cn_Dankaran.m";"丹加蘭";""
"cn_Dante.m";"但丁";""
"cn_Danute.f";"達努捷";""
"cn_Danylo.m";"丹尼洛";""
"cn_Daortho.f";"丹洛爾瑟";""
"cn_Dardan.m";"達爾丹";""
"cn_Dardana.f";"達達娜";""
"cn_Dardin.m";"達爾丁";""
"cn_Dassaro.f";"達爾沙索";""
"cn_Daugirutis.m";"達格烏提斯";""
"cn_Dauid.m";"達韋德";""
"cn_Daujotas.m";"道約塔斯";""
"cn_Daumantas.m";"道曼塔斯";""
"cn_Dausprungas.m";"道斯普倫加斯";""
"cn_David.m";"大衛";""
"cn_Davit.m";"達維特";""
"cn_Davod.m";"達沃德";""
"cn_Davok.m";"達沃克";""
"cn_Davyd.m";"達維德";""
"cn_Dawud.m";"達烏德";""
"cn_Dayfa.f";"戴法";""
"cn_Dayir.m";"戴菲爾";""
"cn_Dedi.m";"戴迪";""
"cn_Deheuwynt.m";"德懷文特";""
"cn_Dei.m";"德雷";""
"cn_Dejan.m";"德約";""
"cn_Delphine.f";"戴芬妮";""
"cn_Delyan.m";"戴爾彥";""
"cn_Demeter.m";"德墨忒爾";""
"cn_Demetre.m";"德米特雷";""
"cn_Demetrio.m";"德梅特里奧";""
"cn_Demetrios.m";"德米特里奧斯";""
"cn_Demetrius.m";"德米特利阿斯";""
"cn_Demna.m";"德米納";""
"cn_Demut.f";"德穆特";""
"cn_Denes.m";"德納";""
"cn_Denis.m";"德尼斯";""
"cn_Denys.m";"丹尼斯";""
"cn_Depas.m";"德帕斯";""
"cn_Depold.m";"德潑德";""
"cn_Derbforgaill.f";"德伯弗蓋勒";""
"cn_Deredere.f";"德雷德爾";""
"cn_Derenik.m";"德雷尼克";""
"cn_Derenik_Ashot.m";"德雷尼克-埃肖特";""
"cn_Dermot.m";"德莫特";""
"cn_Ders.m";"德爾斯";""
"cn_Dertad.m";"德塔德";""
"cn_Dervish.m";"德爾維希";""
"cn_Dervorguilla.f";"德沃爾吉菈";""
"cn_Desa.m";"德薩";""
"cn_Desislava.f";"德西斯拉娃";""
"cn_Detre.m";"德特雷";""
"cn_Devlesah.f";"德薇麗莎";""
"cn_Dezso.m";"德若";""
"cn_Dhana.f";"妲納";""
"cn_Dhayl.f";"德哈衣";""
"cn_Dhimiter.m";"齊米特爾";""
"cn_Diamante.f";"迪亞曼特";""
"cn_Diana.f";"戴安娜";""
"cn_Diara.m";"戴亞拉";""
"cn_Diarmaid.m";"戴亞邁德";""
"cn_Diarmuid.m";"戴亞穆德";""
"cn_Diata.m";"狄亞達";""
"cn_Didak.m";"狄亞克";""
"cn_Diego.m";"迭戈";""
"cn_Dietmar.m";"迪特馬爾";""
"cn_Dietrich.m";"迪特里希";""
"cn_Dietrick.m";"迪特里克";""
"cn_Dieudonne.m";"迪厄多內";""
"cn_Dihya.f";"蒂婭";""
"cn_Dil.m";"迪爾";""
"cn_Dilshan.f";"迪爾善";""
"cn_Dimitar.m";"迪米塔爾";""
"cn_Dimitrie.m";"迪米特瑞";""
"cn_Dinis.m";"迪尼斯";""
"cn_Dinozzo.m";"蒂諾佐";""
"cn_Diodoros.m";"狄奧多羅斯";""
"cn_Dionisio.m";"迪奧尼西奧";""
"cn_Dionisiy.m";"迪奧西尼";""
"cn_Dionysius.m";"狄俄尼索斯";""
"cn_Dirk.m";"迪瑞克";""
"cn_Dirske.m";"迪爾斯克";""
"cn_Ditwin.m";"迪特文";""
"cn_Divitia.f";"蒂薇緹婭";""
"cn_Djibril.m";"賈布里勒";""
"cn_Dmitar.m";"德米塔爾";""
"cn_Dmitri.m";"德米特里";""
"cn_Dmitrijus.m";"德米特里斯";""
"cn_Dmytro.m";"德米特羅";""
"cn_Doat.m";"多特";""
"cn_Dobreysho.m";"多布里索";""
"cn_Dobrodeia.f";"多布洛蒂婭";""
"cn_Dobromir.m";"多布羅米爾";""
"cn_Dobroniega.f";"多布羅涅加";""
"cn_Dobroslav.m";"多布羅斯拉夫";""
"cn_Dobroslava.f";"多布羅斯拉娃";""
"cn_Dobrotitsa.m";"多布羅提察";""
"cn_Dogra.m";"多格拉";""
"cn_Doladi.m";"多拉蒂";""
"cn_Dolca.f";"多爾卡";""
"cn_Dolete.f";"多里特";""
"cn_Domald.m";"多馬爾德";""
"cn_Domenico.m";"多美尼科";""
"cn_Domingo.m";"多明戈";""
"cn_Dominica.f";"多米尼卡";""
"cn_Dominicus.m";"多米尼庫斯";""
"cn_Dominyk.m";"多米尼克";""
"cn_Domnall.m";"多米納爾";""
"cn_Domokos.m";"多莫庫斯";""
"cn_Domongart.m";"多莫加特";""
"cn_Donald.m";"唐納德";""
"cn_Donas.m";"唐納斯";""
"cn_Donato.m";"多納托";""
"cn_Donatus.m";"多納圖斯";""
"cn_Dondi.f";"東迪";""
"cn_Donika.f";"多尼卡";""
"cn_Donn.m";"唐";""
"cn_Donnachac.m";"唐納卡";""
"cn_Donnchad.m";"唐查德";""
"cn_Donnchaid.m";"唐柴德";""
"cn_Donogh.m";"多諾";""
"cn_Doquz.f";"多奎茲";""
"cn_Dorde.m";"多爾德";""
"cn_Dorji.f";"多吉";""
"cn_Doroslava.f";"多爾洛斯拉娃";""
"cn_Dorotea.f";"多羅泰婭";""
"cn_Doroteja.f";"多羅緹婭";""
"cn_Dorothee.f";"多蘿瑟";""
"cn_Dorotheos.m";"佐羅塞奧斯";""
"cn_Dorothy.f";"多蘿茜";""
"cn_Dorothye.f";"多蘿琪";""
"cn_Doruntina.f";"多蘿緹娜";""
"cn_Dositheus.m";"多西修斯";""
"cn_Douenald.m";"多納德爾";""
"cn_Dov_iat.m";"多維亞特";""
"cn_Dov_sprounk.m";"多維斯普魯克";""
"cn_Dovakhin.m";"多維卡辛";""
"cn_Dovmont.m";"多維蒙特";""
"cn_Dowglas.m";"多維格拉斯";""
"cn_Dowlandi.f";"多薇蘭";""
"cn_Dozsa.m";"多沙";""
"cn_Drag.m";"德拉戈";""
"cn_Dragana.f";"德拉加娜";""
"cn_Dragomazh.m";"德拉貢馬紮";""
"cn_Dragomir.m";"德拉貢米爾";""
"cn_Dragonetz.m";"德拉貢尼茨";""
"cn_Dragos.m";"德拉貢斯";""
"cn_Dragota.m";"德拉貢塔";""
"cn_Drita.f";"德里妲";""
"cn_Drogo.m";"卓戈";""
"cn_Drogon.m";"卓戈貢";""
"cn_Drogos.m";"卓戈斯";""
"cn_Druyt.m";"杜魯耶特";""
"cn_Dubays.m";"杜魯拜斯";""
"cn_Dubh.f";"杜布";""
"cn_Dubhchoblaig.f";"杜布奇布拉格";""
"cn_Dubhghall.m";"杜布格霍爾";""
"cn_Dubni.m";"杜堡尼";""
"cn_Duccio.m";"杜喬";""
"cn_Duh.m";"杜赫";""
"cn_Duibne.m";"杜博尼";""
"cn_Duinnin.m";"杜恩";""
"cn_Dulandukht.f";"杜蘭杜克特";""
"cn_Dulce.f";"達爾茜";""
"cn_Dulcia.f";"達爾西婭";""
"cn_Dunadach.m";"杜納達奇";""
"cn_Dunama.m";"杜納馬";""
"cn_Duncan.m";"杜坎";""
"cn_Dunkani.m";"杜卡尼";""
"cn_Duqaq.m";"杜卡克";""
"cn_Duran.m";"杜蘭";""
"cn_Durand.m";"杜蘭德";""
"cn_Durante.m";"杜蘭特";""
"cn_Durayd.m";"杜賴德";""
"cn_Durman.m";"杜爾曼";""
"cn_Dyddgu.f";"德日吉";""
"cn_Dymitr.m";"戴米特";""
"cn_Dzhuradzh.m";"戴爾賈澤";""
"cn_Dzunginidini.f";"戴茲辛妮汀";""
"cn_Eadaoin.f";"艾道什";""
"cn_Ealasaid.f";"艾菈賽德";""
"cn_Ealusaid.f";"艾露賽德";""
"cn_Eamonn.m";"艾莫因";""
"cn_Eanric.m";"艾馬尼克";""
"cn_Eberhard.m";"艾伯哈德";""
"cn_Eble.m";"埃布爾";""
"cn_Ebratz.m";"埃博拉茲";""
"cn_Eckard.m";"艾克奧爾德";""
"cn_Eckehard.m";"艾克哈德";""
"cn_Ecs.m";"埃克斯";""
"cn_Ede.f";"艾德";""
"cn_Eden.m";"埃登";""
"cn_Ederono.m";"埃德羅諾";""
"cn_Edgar.m";"埃德加";""
"cn_Edgard.m";"埃德加德";""
"cn_Edigu.m";"也迪古";""
"cn_Edith.f";"伊迪斯";""
"cn_Editha.f";"伊迪薩";""
"cn_Edivala.m";"埃迪瓦拉";""
"cn_Edivydas.m";"艾迪耶達斯";""
"cn_Edmer.m";"埃德莫爾";""
"cn_Edmond.m";"艾德蒙";""
"cn_Edmund.m";"艾德穆";""
"cn_Ednowain.m";"艾德溫";""
"cn_Ednyfed.m";"埃德耶菲德";""
"cn_Eduard.m";"愛德華";""
"cn_Eduardum.m";"埃德姆";""
"cn_Edward.m";"艾德沃";""
"cn_Edwin.m";"艾德文";""
"cn_Efa.f";"埃法";""
"cn_Egarslan.m";"埃古阿斯蘭";""
"cn_Egbert.m";"愛格伯特";""
"cn_Egelina.f";"埃格利娜";""
"cn_Egeline.f";"埃格琳";""
"cn_Eggert.m";"艾格特";""
"cn_Eggewaart.m";"艾格華特";""
"cn_Egidia.f";"埃吉迪亞";""
"cn_Egidio.m";"埃吉迪奧";""
"cn_Egidius.m";"埃吉迪厄斯";""
"cn_Egill.m";"埃吉爾";""
"cn_Egzon.m";"埃格松";""
"cn_Einar.m";"埃納爾";""
"cn_Einion.m";"埃尼恩";""
"cn_Einvalti.m";"埃因瓦爾第";""
"cn_Eirene.f";"厄瑞涅";""
"cn_Eirene_Eulogia.f";"厄瑞涅-厄露琪亞";""
"cn_Eisabetta.f";"伊莉莎貝塔";""
"cn_Eithne.f";"恩雅";""
"cn_Ekaterina.f";"葉卡捷琳娜";""
"cn_Ekinchi.m";"愛斤赤";""
"cn_Ekvtime.m";"伊瓦克泰姆";""
"cn_Ela.f";"埃菈";""
"cn_Elaine.f";"埃萊娜";""
"cn_Elayne.f";"埃萊妮";""
"cn_Elbasmish.m";"埃萊米什";""
"cn_Eleanor.f";"埃莉諾";""
"cn_Elen.f";"艾琳";""
"cn_Elena.f";"艾琳娜";""
"cn_Elena_Evgenia.f";"艾琳娜-艾薇姬娜";""
"cn_Elene.f";"埃琳娜";""
"cn_Eleonora.f";"埃莉奧諾拉";""
"cn_Eleonore.f";"埃莉奧諾爾";""
"cn_Eles.m";"艾雷思";""
"cn_Eletta.f";"艾蕾妲";""
"cn_Elgai.m";"艾爾加";""
"cn_Elgast.m";"埃爾加斯特";""
"cn_Elger.m";"艾爾格爾";""
"cn_Elias.m";"艾利亞斯";""
"cn_Eliazar.m";"埃利亞扎";""
"cn_Elidir.m";"艾利迪爾";""
"cn_Eliduc.m";"艾利杜克";""
"cn_Elin.f";"艾琳恩";""
"cn_Elira.f";"愛麗菈";""
"cn_Elisa.f";"艾麗薩";""
"cn_Elisabet.f";"艾麗薩貝特";""
"cn_Elisabeth.f";"伊麗薩白";""
"cn_Elisaveta.f";"艾麗莎維塔";""
"cn_Elisif.f";"艾麗斯芙";""
"cn_Elizabet.f";"伊莉莎貝特";""
"cn_Elizabeth.f";"伊麗莎白";""
"cn_Elizebeth.f";"伊莉莎貝斯";""
"cn_Eljigidei.m";"野里知吉帶";""
"cn_Eljitai.m";"野里臺";""
"cn_Ella.f";"艾菈";""
"cn_Ellen.f";"艾露恩";""
"cn_Elo.f";"愛洛";""
"cn_Elric.m";"艾瑞克";""
"cn_Elspaith.f";"埃爾斯佩思";""
"cn_Elthreda.f";"埃爾斯雷妲";""
"cn_Eltimir.m";"埃爾斯提米爾";""
"cn_Elvira.f";"愛爾維菈";""
"cn_Elysande.f";"艾麗珊德";""
"cn_Elystan.m";"艾力斯坦";""
"cn_Elzbieta.f";"埃爾茲別妲";""
"cn_Elzear.m";"埃爾扎爾";""
"cn_Emad.m";"艾馬德";""
"cn_Emeline.f";"艾蒙琳";""
"cn_Emely.f";"埃米莉";""
"cn_Emeric.m";"埃梅里克";""
"cn_Emerik.m";"埃梅里卡";""
"cn_Emilie.f";"艾米麗";""
"cn_Emma.f";"艾瑪";""
"cn_Emmeline.f";"艾米琳";""
